id,shopinfo_id,shopname,branchname,address,tel,starthour,endhour,e_starthour,e_endhour,holiday,latitude,longitude,train,station,train2,station2,train3,station3,area,prefec,city,access,sheet,info
29,2,銀座カラー,立川店,東京都立川市柴崎町3-5-27 ＹＭビル 2F,,12:00,21:00,10:00,19:00,なし,35.6964031,139.4141004,JR線,立川,"","","","",関東,東京都,立川市,JR立川駅南口、グランデュオ立川より錦町方面へ徒歩2分、「YMビル」2階です。多摩モノレール立川南駅からも2番出口より徒歩2分。立川駅前の通いやすいサロンです。,6,アットホームな雰囲気が居心地がよいと好評の脱毛サロン・立川店。木の素材を取り入れたインテリアがあり、やさしく温もりのある空間です。駅から徒歩2分の通いやすさも魅力。お得な全身脱毛、人気のワキや顔、VIOコースなど、まずは無料カウンセリングをお気軽にどうぞ。
30,2,銀座カラー,立川北口店,東京都立川市曙町 1-14-14  メサビル 6F,,12:00,21:00,10:00,19:00,なし,35.6985111,139.4104882,JR線,立川,"","","","",関東,東京都,立川市,JR立川駅北口より曙町方面へ徒歩5分、「メサビル」の6階です。多摩モノレール立川北駅からも2番出口より徒歩2分。立川駅前の通いやすいサロンです。,10,明るく清潔感があり、ゆったり広い雰囲気の脱毛サロン・立川北口店。周辺には大型商業施設も多く、デートやショッピングのついでにも脱毛できちゃいます。お得な全身脱毛、人気の顔脱毛、ワキ脱毛、VIO脱毛など、まずはお気軽にご相談ください。
31,2,銀座カラー,八王子店,東京都八王子市三崎町4-11 トーネンビル 7F,,12:00,21:00,10:00,19:00,なし,35.6575333,139.3371019,JR線,八王子,"","","","",関東,東京都,八王子市,JR八王子駅北口より徒歩4分。北口改札を出てユーロードを直進。信号の手前左手のトーネンビル7階です。,9,アットホームな空間を大切にしている八王子店。癒しの時間の中で、全身脱毛、顔脱毛、VIO脱毛など、快適な施術をお楽しみいただけます。まずは無料カウンセリングを、お気軽にどうぞ。
32,2,銀座カラー,町田モディ店,東京都町田市原町田6-2-6 町田モディB2F,,10:00,21:00,10:00,21:00,なし,,,JR線,町田,小田急線,町田,"","",関東,東京都,町田市,小田急町田駅西口すぐ、JR町田駅北口から徒歩3分、町田駅前通り沿い「町田モディ」B2階です。町田駅前の通いやすいサロンです。,8,小田急線町田駅西口すぐの脱毛サロン・町田モディ店。商業ビルの中にサロンがあるので、カフェやショッピングのついでに、気軽に立ち寄って脱毛できます。人気のワキ脱毛や顔脱毛はもちろん、女子力アップに欠かせないVIO脱毛、お得な全身脱毛もおすすめです。
33,3,脱毛ラボ,池袋西口店,東京都豊島区西池袋3-25-11 CIC IKEBUKUROBUIL9F,120,10:00,22:00,"","",年中無休（1月1日〜3日除く),35.7299614,139.7072862,JR線,池袋,"","","","",関東,東京都,豊島区,池袋西口を出ていただいて、一番左の信号を渡っていただきます。<br>ソフトバンクさんの角を曲がっていただいてまっすぐ進んでいただきます。左側には東京芸術劇場が見えて参ります。<br>しばらくすると、マクドナルドが見えて参ります。<br>信号が御座いますので渡っていただいて、マクドナルドを右手にしていただいて、また真っ直ぐ進んでいただきます。<br>ローソンが見えて参りますので、手前のビルの９階で御座います。<br>,施術ベッド9台（個室）,脱毛ラボ池袋西口店のご紹介<br><p>脱毛ラボは、お客様の肌や毛の状態に合わせて丁寧に脱毛いたします。 そのため、肌を傷つけることなく綺麗に仕上げることができます。 脱毛後の肌ケアについてもしっかりアドバイスさせえていただきます。 脱毛のことならば脱毛ラボ池袋西口店にお任せください。</p>
34,3,脱毛ラボ,銀座プレミアム店,東京都中央区銀座1-6-8 DEAR GINZA 5F,120,10:00,22:00,"","",年中無休（1月1日〜3日除く),35.674386,139.7673977,有楽町線,銀座一丁目,"","","","",関東,東京都,中央区,東京メトロ有楽町線銀座一丁目駅6番出口を出ます。<br>右手方向にお進みいただき、最初の十字路を右折して下さい。<br>左側に「銀座イタリー亭」という飲食店があり、その隣の白い建物のビル、DEAR GINZAの5階です。,施術ベッド 9台（個室）,脱毛ラボが銀座に2店舗目をOPEN！！！<br><p>銀座で全身脱毛専門サロンをお探の方は「全国チェーンの安心性」「痛みがすくない」「リーズナブルな価格」の脱毛ラボ銀座プレミアム店へ。全身脱毛ならではの高い技術力で、お客様ひとりひとりの肌に合わせて施術をしています。</p>
35,3,脱毛ラボ,恵比寿店,東京都渋谷区恵比寿西1-10-7 MMSビル9F,120,10:00,22:00,"","",年中無休（1月1日〜3日除く),35.6466126,139.7077979,JR線,恵比寿,"","","","",関東,東京都,渋谷区,恵比寿駅4番出口をでて、恵比寿駅ロータリー方向に直進。<br>1階にひまわり薬局の入ったビルの9階です。,施術ベッド7台（個室）,脱毛ラボ恵比寿店は2012年9月1日にOPENしました！<br><p>恵比寿で全身脱毛専門サロンをお探の方は「全国チェーンの安心性」「痛みがすくない」「リーズナブルな価格」の脱毛ラボ恵比寿店へ。全身脱毛ならではの高い技術力で、お客様ひとりひとりの肌に合わせて施術をしています。</p>
36,3,脱毛ラボ,新宿店,東京都新宿区西新宿1-19-5 新宿幸容ビル8F,120,10:00,22:00,"","",年中無休（1月1日〜3日除く),35.6882501,139.6971801,JR線,新宿,小田急線,新宿,"","",関東,東京都,新宿区,JR線　新宿駅「南改札口」を出ます。※小田急線からお越しのお客様は小田急改札からJR改札口に出る道をご利用下さい。地下鉄をご利用の方は南口に出る道をご利用お願いします。<br>改札を出まして右に進みますと信号の先にファーストキッチンがありますので信号を渡って下さい。<br>信号を渡りましたらファーストキッチンを前にして左の脇を大通りに沿って、ヤマダ電機をこえて150メートル程お進み下さい。<br>ソフトバンクが１F に入ったビルの8Fになります。,施術ベッド9台（個室）,脱毛ラボ 新宿店は2014年6月21日にリニューアルオープンしました!!<br><p>新宿で全身脱毛専門サロンをお探の方は「全国チェーンの安心性」「痛みがすくない」「リーズナブルな価格」の脱毛ラボ新宿店へ。全身脱毛ならではの高い技術力で、お客様ひとりひとりの肌に合わせて施術をしています。</p>
37,3,脱毛ラボ,町田店,東京都町田市中町1-1-3 町田リラビル４F,120,10:00,22:00,"","",年中無休（1月1日〜3日除く),35.54554480000001,139.4457862,JR横浜線,町田,"","","","",関東,東京都,町田区,JR横浜線　町田駅「中央改札」を出ます。<br>改札を背にして右方向に進むと小田急線へと繋がる案内が出てくるので小田急改札方面へお越しください。<br>小田急改札が見えてきたら、「東口」出口へお進みください。<br>小田急線「東口」を出ますと左手に交番と踏切が見えてきますのでその踏切を渡ってください。<br>踏切を渡るとすぐ右手角に「りそな銀行」さんの大きなビルがあります。<br>「りそな銀行」さんのビルの隣が町田リラビルですので、エレベーターで４階に上がって頂くと脱毛ラボ町田店到着です。,施術ベッド8台（個室）,脱毛ラボ町田店のご紹介<br><p>町田で全身脱毛専門サロンをお探の方は「全国チェーンの安心性」「痛みがすくない」「リーズナブルな価格」の脱毛ラボ町田店へ。全身脱毛ならではの高い技術力で、お客様ひとりひとりの肌に合わせて施術をしています。</p>
38,3,脱毛ラボ,吉祥寺店,東京都武蔵野市吉祥寺本町1-13-10 アミノビル4階,120,10:00,22:00,"","",年中無休（1月1日〜3日除く),35.7047728,139.5808623,JR線,吉祥寺,"","","","",関東,東京都,武蔵野市,JR中央線。吉祥寺駅「中央（北口）」改札を出ます。<br>中央（北口）　出口の階段を下ります。<br>そのまま直進して頂くと、右手に交番がございますので、そちらを左折し、横断歩道を渡ってください。<br>渡って頂くと右手に「ヨドバシカメラ」。左手に「スターバックス」があります。<br>「スターバックス」を越えたところにある「ヨドバシカメラ」向かいペットショップがあるビルの4階です。,施術ベッド8台（個室）,脱毛ラボ吉祥寺店のご紹介<br><p>吉祥寺で全身脱毛専門サロンをお探の方は「全国チェーンの安心性」「痛みがすくない」「リーズナブルな価格」の脱毛ラボ吉祥寺店へ。全身脱毛ならではの高い技術力で、お客様ひとりひとりの肌に合わせて施術をしています。</p>
39,3,脱毛ラボ,立川店,東京都立川市柴崎町2-1-4 五光トミオー第2ビル7F,120,10:00,22:00,"","",年中無休（1月1日〜3日除く),35.6974855,139.4119516,JR線,立川,"","","","",関東,東京都,立川市,JR中央線・青梅線・南武線、立川駅　南口改札を出ます。<br>南口出口を出て、右方向に進んだところにある階段を下ります。<br>出口を背にして、左方向へお進み下さい。<br>左手に「マクドナルド」、右手に「メガネスーパー」がある通りを 100ｍほど直進してください。<br>お進み頂きましたら、右手に喫茶店「シャノアール」がございます。 そちらのビルの奥にあるエレベーターで７階へ上がって頂くと脱毛ラボ立川店です。 ※手前にもエレベーターがございますので、ご注意下さい。,施術ベッド8台（個室）,脱毛ラボ立川店のご紹介<br><p>立川で全身脱毛専門サロンをお探の方は「全国チェーンの安心性」「痛みがすくない」「リーズナブルな価格」の脱毛ラボ立川店へ。全身脱毛ならではの高い技術力で、お客様ひとりひとりの肌に合わせて施術をしています。</p>
40,3,脱毛ラボ,上野プレミアム店,東京都台東区上野4-5-5 455上野ビル7F,120,10:00,22:00,"","",年中無休（1月1日〜3日除く),35.7128349,139.778088,JR線,上の,"","","","",関東,東京都,台東区,JR上野駅から不忍口よりヨドバシカメラを進行方向左側にし、直進します。<br>直進すると日拓エスパスがあり、更に直進するとABABがあります。<br>ABABを通り過ぎていくと、1階がauショップの入っているビルがあります。そこの7Fになります。,施術ベッド9台（個室）,脱毛ラボ上野プレミアム店のご紹介<br><p>脱毛ラボは、お客様の肌や毛の状態に合わせて丁寧に脱毛いたします。 そのため、肌を傷つけることなく綺麗に仕上げることができます。 脱毛後の肌ケアについてもしっかりアドバイスさせえていただきます。 脱毛のことならば脱毛ラボ上野プレミアム店にお任せください。</p>
41,3,脱毛ラボ,錦糸町店,東京都墨田区江東橋4-25-7 JU錦糸町ビル5F,120,10:00,22:00,"","",年中無休（1月1日〜3日除く),35.6956244,139.8113293,JR線,錦糸町,"","","","",関東,東京都,墨田区,JR錦糸町駅南口改札を出て、左に進みます。<br>横断歩道がありますので、正面LIVIN側に渡り右に進みます。<br>さらに横断歩道がありますので、みずほ銀行側に渡り左へ進みます。<br>一つ目の横断歩道を渡り（Patriotというパチンコ屋が見えます）、直進しますと右手に脱毛ラボの看板が見えます。<br>市進が入っているビルの５階になります。,施術ベッド7台（個室）,脱毛ラボ錦糸町店のご紹介<br><p>錦糸町で全身脱毛専門サロンをお探の方は「全国チェーンの安心性」「痛みがすくない」「リーズナブルな価格」の脱毛ラボ錦糸町店へ。全身脱毛ならではの高い技術力で、お客様ひとりひとりの肌に合わせて施術をしています。</p>
42,3,脱毛ラボ,五反田店,東京都品川区東五反田5-27-3 第二野村ビル6F,120,10:00,22:00,"","",年中無休（1月1日〜3日除く),35.6271839,139.7237414,JR線,五反田,"","","","",関東,東京都,品川区,五反田駅改札出て左側（ロータリー側）にユニクロ方面に向かいます。<br>ユニクロの隣に交番があるので向かいの信号をケンタッキー方面に渡っていただきます。<br>ケンタッキーの右隣3つ目のビル6Fです,施術ベッド9台（個室）,脱毛ラボ五反田店のご紹介<br><p>五反田で全身脱毛専門サロンをお探の方は「全国チェーンの安心性」「痛みがすくない」「リーズナブルな価格」の脱毛ラボ五反田店へ。全身脱毛ならではの高い技術力で、お客様ひとりひとりの肌に合わせて施術をしています。</p>
43,4,シースリー,北千住西口店,東京都足立区千住3-1 藤田ビル2F,3,12:00,21:00,"","",毎週水曜日・第2火曜日,35.7510044,139.8004998,JR線,北千住,"","","","",関東,東京都,足立区,JR北千住駅から徒歩5分,"",""
44,4,シースリー,錦糸町店,東京都墨田区江東橋4-10-2 コリンズ16ビル7F,3,12:00,21:00,"","",毎週水曜日・第2火曜日,35.6941787,139.8154404,JR線,錦糸町,"","","","",関東,東京都,墨田区,ＪＲ錦糸町駅徒歩5分,"",""
45,4,シースリー,PR成増店,東京都板橋区成増1-13-15 BMRビル2F,3,12:00,21:00,"","",毎週水曜日・第2火曜日,35.7753344,139.6335136,東武東上線,成増,"","","","",関東,東京都,板橋区,東武東上線成増駅南口から徒歩3分,"",""
46,4,シースリー,PR葛西店,東京都江戸川区中葛西3-37-3 志美津ビル6Ｆ,3,12:00,21:00,"","",毎週水曜日・第2火曜日,35.6641675,139.8726265,JR線,葛西,"","","","",関東,東京都,江戸川区,JR葛西駅中央口から徒歩2分,"",""
